num_parameters,inference_time_per_sample,MSE,MAE,RMSE,Huber_Loss,Silhouette_Score,Davies_Bouldin_Index,Calinski_Harabasz_Index,Reconstruction_Cosine_Similarity,Feature_Correlation,Reconstruction_Consistency_Std,Downstream_Accuracy,Downstream_F1_Score,Downstream_ROC_AUC,model_type,total_training_time,final_train_loss,final_val_loss
213337,4.0676790227568164e-05,0.12196125090122223,0.22205112874507904,0.349229510352751,0.057575471699237823,0.012068960815668106,7.0285508586766285,42.80038486438336,0.9279545545578003,0.9348863543233481,0.31482502818107605,0.018546670720583764,0.002768166089965398,0.48058172713456376,attention_mlp,253.69715881347656,0.1623585265065937,0.1300634273669505
155897,3.0349039603743953e-05,0.44589394330978394,0.4425247311592102,0.6677529058789515,0.18884339928627014,-0.00988986436277628,11.188466497087894,76.91536432433514,0.658348560333252,0.6823789556665579,0.6144782900810242,0.017026451809060504,0.0,0.5350962188628587,beta_vae,186.9829545021057,0.6182794550797216,0.6009565007263213
140467,0.0001387387360073796,0.031119704246520996,0.10683965682983398,0.17640777830504242,0.015205930918455124,0.01004737988114357,7.311431801386663,38.49756591851918,0.9831490516662598,0.9838278510372404,0.15679360926151276,0.017026451809060504,0.0,0.4835067930858886,ft_transformer,1321.4325819015503,0.040807726036451546,0.034022597770565356
