run_uuid,name,source_type,source_name,entry_point_name,user_id,status,start_time,end_time,source_version,lifecycle_stage,artifact_uri,experiment_id,deleted_time,param_batch_size,param_dropout_fc,param_dropout_lstm,param_finetune_epochs,param_hidden_size,param_lr,param_num_layers,param_pretrain_epochs,param_pretrain_strategy,param_resolution,param_weight_decay,metric_hamming_loss,metric_macro_auc,metric_macro_f1,metric_pretrain_loss,metric_subset_accuracy,metric_train_loss,metric_val_hamming_loss,metric_val_loss,metric_val_macro_auc,metric_val_macro_f1,metric_val_subset_accuracy
b9f16875321b43e285089a53db158f74,temporal_encoder_expanded_parent,UNKNOWN,,,fredr,FAILED,1785821622338,1785835038721,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/b9f16875321b43e285089a53db158f74/artifacts,4,,,,,,,,,,,,,,,,,,,,,,,
5b4ff723f5df41c89270c0ec7eb19dca,trial_2_lr_0.001_hidden_128_layers_4_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785821622885,1785822549117,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/5b4ff723f5df41c89270c0ec7eb19dca/artifacts,4,,64,0.1,0.4,10,128,0.001,4,3,mae,lr,0.0,0.22933333333333333,0.5353643703517964,0.13875181422351232,0.053117551376422247,0.5,0.5052034837404887,0.27155555555555555,0.5496060597896576,0.49812390867999773,0.12727272727272726,0.45555555555555555
7333b070af6d487bab52d4229235adea,trial_3_lr_0.001_hidden_128_layers_4_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785822549158,1785824659808,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/7333b070af6d487bab52d4229235adea/artifacts,4,,64,0.2,0.1,10,128,0.001,4,3,mae,lr,1e-05,0.228,0.4867330633601588,0.13900293255131965,0.053036609391371406,0.49777777777777776,0.5039016366799672,0.2702222222222222,0.5461432262261708,0.5151626816276151,0.12718894009216591,0.45111111111111113
6a6bee1a891248c9ae13d9fe1bea29d4,trial_4_lr_0.0005_hidden_256_layers_2_ssl_contrastive,UNKNOWN,,,fredr,FINISHED,1785824659862,1785827539589,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/6a6bee1a891248c9ae13d9fe1bea29d4/artifacts,4,,64,0.4,0.2,10,256,0.0005,2,3,contrastive,lr,1e-05,0.22444444444444445,0.513192244639549,0.13846153846153847,0.41780527408917745,0.47555555555555556,0.506067900021871,0.268,0.5408780878119999,0.5831997968293468,0.12634920634920635,0.44222222222222224
48a3e3c17a2f489ca05b347280d74672,trial_5_lr_0.001_hidden_128_layers_3_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785827539620,1785830147907,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/48a3e3c17a2f489ca05b347280d74672/artifacts,4,,64,0.1,0.1,10,128,0.001,3,3,mae,lr,1e-05,0.24177777777777779,0.53715902284767,0.0,0.0529125971198082,0.011111111111111112,0.5028827765782674,0.25822222222222224,0.5521824978457557,0.5915885613957104,0.0,0.03111111111111111
8b329bf9e69245f7bbc2f3de32aab2ab,trial_6_lr_0.0005_hidden_256_layers_4_ssl_mae,UNKNOWN,,,fredr,FAILED,1785830148063,1785835038701,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/8b329bf9e69245f7bbc2f3de32aab2ab/artifacts,4,,64,0.1,0.3,10,256,0.0005,4,3,mae,lr,1e-05,,,,0.053311582605044046,,0.5067854719161987,0.27155555555555555,0.5530625744660695,0.5113956771330042,0.12727272727272726,0.45555555555555555
9c2d4bb403514801beb52b16a74a4bf5,temporal_encoder_expanded_parent,UNKNOWN,,,fredr,FINISHED,1785835091030,1785875556588,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/9c2d4bb403514801beb52b16a74a4bf5/artifacts,4,,,,,,,,,,,,,,,,,,,,,,,
32a00accc8d849a188643fb81d6c3090,trial_6_lr_0.0005_hidden_256_layers_4_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785835091840,1785840075388,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/32a00accc8d849a188643fb81d6c3090/artifacts,4,,64,0.1,0.3,10,256,0.0005,4,3,mae,lr,1e-05,0.2311111111111111,0.5112601538362554,0.13514328808446457,0.05309363395969073,0.4666666666666667,0.49970412023862204,0.2688888888888889,0.5501722501383888,0.48547988702302425,0.1247588424437299,0.4311111111111111
1bf43bac10e745bbacacf6e6bf224f9d,trial_8_lr_0.001_hidden_128_layers_3_ssl_contrastive,UNKNOWN,,,fredr,FINISHED,1785840075657,1785841478791,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/1bf43bac10e745bbacacf6e6bf224f9d/artifacts,4,,64,0.2,0.1,10,128,0.001,3,3,contrastive,lr,0.0,0.22933333333333333,0.4928314013625762,0.13875181422351232,0.532622903585434,0.5,0.505756113131841,0.27155555555555555,0.5443303790357378,0.4565025897095925,0.12727272727272726,0.45555555555555555
71cfe779793d410082fbe47a712f8195,trial_9_lr_0.0005_hidden_256_layers_4_ssl_contrastive,UNKNOWN,,,fredr,FINISHED,1785841478912,1785847823911,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/71cfe779793d410082fbe47a712f8195/artifacts,4,,64,0.2,0.3,10,256,0.0005,4,3,contrastive,lr,1e-05,0.22444444444444445,0.5581152721684912,0.1264705882352941,0.48152042520046234,0.3688888888888889,0.4970692511399587,0.2528888888888889,0.540854195356369,0.5760113249324477,0.12173913043478261,0.3488888888888889
642c7c16435a4223b552259ed9ef7c6f,trial_10_lr_0.001_hidden_256_layers_4_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785847824086,1785853010373,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/642c7c16435a4223b552259ed9ef7c6f/artifacts,4,,64,0.2,0.1,10,256,0.001,4,3,mae,lr,0.0,0.22933333333333333,0.5248530640894616,0.1361573373676248,0.05290731911857923,0.47555555555555556,0.5054153651396434,0.268,0.5461644963423411,0.5155862656033801,0.12611464968152866,0.4311111111111111
d7d099521d944eaa8f488b76a5375324,trial_11_lr_0.0005_hidden_256_layers_3_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785853010479,1785856493045,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/d7d099521d944eaa8f488b76a5375324/artifacts,4,,64,0.3,0.2,10,256,0.0005,3,3,mae,lr,0.0,0.22977777777777778,0.5200644334817861,0.13575757575757577,0.05318579092621803,0.4688888888888889,0.5063412903944652,0.26711111111111113,0.5424942772918278,0.5168016758301147,0.12698412698412698,0.43555555555555553
476bf36b2a8f48b29e4e5a97cdaa2396,trial_12_lr_0.001_hidden_256_layers_3_ssl_contrastive,UNKNOWN,,,fredr,FINISHED,1785856493149,1785861764544,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/476bf36b2a8f48b29e4e5a97cdaa2396/artifacts,4,,64,0.1,0.3,10,256,0.001,3,3,contrastive,lr,0.0,0.23022222222222222,0.5316211082870935,0.12007504690431521,0.9998884584108988,0.3333333333333333,0.4993487474123637,0.25955555555555554,0.5471497548951043,0.551518491679175,0.11509054325955734,0.33111111111111113
37a18f23b834400f8ce66f56ac0aeac6,trial_13_lr_0.001_hidden_256_layers_3_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785861764703,1785866026234,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/37a18f23b834400f8ce66f56ac0aeac6/artifacts,4,,64,0.2,0.4,10,256,0.001,3,3,mae,lr,1e-05,0.22355555555555556,0.5408894240320887,0.13465346534653466,0.05273868001500766,0.4288888888888889,0.5010291500091553,0.26222222222222225,0.5475349452760484,0.5536738711942745,0.1248713550600343,0.4088888888888889
2e9de704fb3b44fa85a7c8bf0a2c240f,trial_14_lr_0.001_hidden_256_layers_4_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785866026399,1785872806171,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/2e9de704fb3b44fa85a7c8bf0a2c240f/artifacts,4,,64,0.4,0.4,10,256,0.001,4,3,mae,lr,1e-05,0.23022222222222222,0.48949251683044565,0.1376281112737921,0.05310124104221662,0.4911111111111111,0.5088171733220418,0.27066666666666667,0.5447999131679535,0.5587313296464567,0.12765957446808512,0.45555555555555555
de3ec4c8fc294d7b89034e0c8db6a7e2,trial_15_lr_0.001_hidden_256_layers_2_ssl_mae,UNKNOWN,,,fredr,FINISHED,1785872806249,1785875556557,,active,file:///C:/Users/fredr/OneDrive/Desktop/Projects/ECG_Encoder/mlruns/4/de3ec4c8fc294d7b89034e0c8db6a7e2/artifacts,4,,64,0.1,0.1,10,256,0.001,2,3,mae,lr,0.0,0.22933333333333333,0.5286939902452684,0.13875181422351232,0.05211286034186681,0.5,0.5037802294095357,0.27155555555555555,0.5469178983900282,0.4929407102230641,0.12727272727272726,0.45555555555555555
