model_type,MSE,DS_F1_Macro,DS_F1_Weighted,DS_ROC_AUC_Macro,DS_PR_AUC_Macro,Direct_F1_Macro,Direct_F1_Weighted,Direct_ROC_AUC_Macro,Direct_PR_AUC_Macro
attention_mlp,0.12997832894325256,0.6025980285752293,0.6399632673781809,0.835659492935972,0.6569232001008267,0.6057073279581879,0.6426448210742208,0.8351929473772696,0.6556871025480425
beta_vae,0.4194905459880829,0.6095643741898422,0.6459512163338927,0.8377762293012083,0.6553651665931353,0.6062781312029809,0.6429663929459444,0.8366029392665396,0.6534893033031661
ft_transformer,0.11056499928236008,0.6008058894730961,0.6385788318950465,0.8334238172194801,0.6465157921592024,0.6068949222408124,0.642869560217702,0.8332155806807563,0.645978159083009
