num_parameters,MSE,MAE,Direct_Accuracy,Direct_F1_Score,Direct_ROC_AUC,Direct_F1_Per_Label,Direct_AUC_Per_Label,Downstream_Accuracy,Downstream_F1_Score,Downstream_ROC_AUC,Downstream_F1_Per_Label,Downstream_AUC_Per_Label,model_type,training_time_seconds,embedding_dim
206562,0.12997832894325256,0.23865562677383423,0.4737002128306476,0.5209495926413407,0.8351929473772696,"[np.float64(0.7840870452227133), np.float64(0.4961832061068702), np.float64(0.5820029027576198), np.float64(0.4022878932316492), np.float64(0.3401869158878505)]","[0.8885844042100175, 0.797082378770523, 0.8683168864433923, 0.7843333446654901, 0.8376477227969247]",0.0164183642444512,0.0,0.5639728188749332,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[0.5583796415142775, 0.5875319778541428, 0.5874556268863014, 0.5889206017581327, 0.49757624636181197]",attention_mlp,221.72201013565063,32
109602,0.4221612215042114,0.43056946992874146,0.4770446944359988,0.5560739238655114,0.8366029392665396,"[np.float64(0.7874872492349541), np.float64(0.5322687957418496), np.float64(0.5940014630577908), np.float64(0.4574468085106383), np.float64(0.40916530278232405)]","[0.8895244099482053, 0.8011822260404735, 0.8646310511328463, 0.7847619062336134, 0.8429151029775596]",0.017026451809060504,0.0,0.47233846382755224,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[0.38815479516180174, 0.47545007636502484, 0.5367951804049953, 0.4134838758860974, 0.5478083913198417]",beta_vae,175.2755925655365,32
74558,0.11056499928236008,0.21981367468833923,0.4673152934022499,0.5140600530485248,0.8332155806807563,"[np.float64(0.7965135769359705), np.float64(0.4927536231884058), np.float64(0.5973645680819912), np.float64(0.36964980544747084), np.float64(0.31401869158878504)]","[0.8913934735665856, 0.7941423253150057, 0.8699304542142533, 0.770901648210704, 0.8397100020972331]",0.016722408026755852,0.0,0.4604517202683683,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[0.43675799948658317, 0.49650486827033224, 0.5034679021792299, 0.4689393307228165, 0.39658850068287954]",ft_transformer,288.71488785743713,32
